Student_ID,Subject,Exam_Score,Homework_Completion_%,Teacher_Comments,Homework_Score,Final_Score
S10964,Math,41,100%,Type write provide none actually think woman car best end between speak doctor.,100.0,58.7
S03956,English,55,100%,Sing special reason catch degree back over air while.,100.0,68.5
S04375,English,62,-5,Eye school concern baby inside popular senior pretty moment now that.,5.0,44.9
S07091,Geography,55,95,Throughout sure between policy size pick in interesting state.,95.0,67.0
S00357,Math,106,100%,At return level mean choice compare.,100.0,104.19999999999999
S09672,Geography,49,95,Ten fish simple appear sing stop base.,95.0,62.8
S06644,Geography,72,-5,Remember decision condition population own truth.,5.0,51.9
S00191,History,63,95,Time vote wait step series bill market notice.,95.0,72.6
S10604,Math,50,90,Live decision result him property step behavior.,90.0,62.0
S01748,Science,71,-5,Wrong say international rule look above traditional only six order data clear.,5.0,51.199999999999996
S06170,Math,63,-5,Seat than mind let rule score bar.,5.0,45.599999999999994
S00549,Science,69,100%,Land allow might notice north may move line.,100.0,78.3
S01966,Science,94,95,Also argue clear really gas discuss expect when.,95.0,94.3
S06061,Arabic,72,100%,Point experience lead partner animal go religious.,100.0,80.4
S05025,Arabic,87,90,Get art appear character remain recently fund brother condition.,90.0,87.9
S09432,Arabic,59,80%,Buy serious treatment into reach if TV general pay expect choose.,80.0,65.3
S02218,English,96,90,Woman blue away how middle spring while money space.,90.0,94.19999999999999
S00045,Geography,85,90,System compare work road recently player teach.,90.0,86.5
S08529,Math,60,80%,,80.0,66.0
S08611,Arabic,78,80%,Southern when safe like technology new book government.,80.0,78.6
S03883,Math,58,80%,Go successful still suffer care themselves reflect whole environmental.,80.0,64.6
S03291,Science,88,95,Pm under total real peace help.,95.0,90.1
S04877,Math,85,90,Never management tonight share baby decision.,90.0,86.5
S09243,Science,53,-5,Central billion movie change later doctor keep time.,5.0,38.599999999999994
S05373,English,105,80%,Per area type successful age bag best how few radio put everyone.,80.0,97.5
S04243,Math,110,90,Skill power ahead right hot prevent.,90.0,104.0
S09275,Science,61,95,Together two quality effect another girl school.,95.0,71.19999999999999
S06220,History,85,90,Public product about stock head society material game system.,90.0,86.5
S04635,History,40,95,Above fly anyone amount Democrat I month much small admit as soon.,95.0,56.5
S03124,Science,42,95,Under want view hospital charge offer any address none imagine car house my.,95.0,57.9
S06944,History,59,-5,Second marriage magazine paper energy everybody.,5.0,42.8
S00538,Science,43,-5,Since key event tough choice free.,5.0,31.599999999999998
S03056,Geography,108,90,Can collection yes attack seem police.,90.0,102.6
S10087,History,105,80%,We red carry culture Mr edge research themselves enter simple doctor.,80.0,97.5
S04014,Math,98,90,Agreement party popular inside brother project while or tend animal especially so.,90.0,95.6
S08136,Arabic,91,-5,Vote option too conference sing boy name.,5.0,65.19999999999999
S04907,Science,110,80%,Major land through while describe population together.,80.0,101.0
S02390,History,90,80%,Could anyone forget economy production answer face nothing.,80.0,87.0
S10625,Arabic,71,100%,Specific share without such enough theory toward option answer true.,100.0,79.69999999999999
S01951,Math,62,90,Sister simply important today its for position yes budget add especially according.,90.0,70.4
S10542,English,97,95,Eight PM suggest under listen wrong high trip since first common.,95.0,96.39999999999999
S10748,English,82,90,Bring describe relate concern including ball choice interesting turn page teach ten activity.,90.0,84.4
S06592,Math,64,100%,,100.0,74.8
S10919,Geography,87,80%,Then someone similar media area institution author bit fast major even church.,80.0,84.9
S04460,Science,81,-5,Want never near within sing east care she history candidate.,5.0,58.199999999999996
S03618,English,107,-5,Continue accept foot speech treatment use history director respond toward form.,5.0,76.39999999999999
S07162,History,55,-5,Usually reveal trip focus entire out benefit until night section leave base.,5.0,40.0
S07707,English,110,80%,Center a whether deep after trip item exist poor area window win.,80.0,101.0
S05273,Science,45,95,About work financial least kitchen game difficult sometimes at movie learn author sit.,95.0,60.0
S04397,Arabic,87,-5,Mean history resource catch medical offer.,5.0,62.4
S00862,History,63,80%,Pressure three exist let new person deal let include down defense.,80.0,68.1
S03578,Geography,66,80%,Stand team good plant draw law agreement myself administration bring.,80.0,70.19999999999999
S11021,English,84,80%,Director in imagine management opportunity use simple prepare enjoy western.,80.0,82.8
S07153,Science,86,95,Course guy provide place sure top father pay.,95.0,88.69999999999999
S00309,History,43,80%,Play data follow down large wind out without my.,80.0,54.099999999999994
S05947,History,67,95,Than teach ever gun central wait guess few.,95.0,75.4
S11589,English,104,95,Shake and behind nearly best degree may movie claim treatment perhaps along serve.,95.0,101.3
S08813,Geography,82,100%,Inside agreement late Mr customer view small arm range science how marriage behind what.,100.0,87.4
S03670,Science,52,95,Get relate whatever size short edge.,95.0,64.9
S10490,Arabic,109,80%,Receive it fast the figure six four way camera difference.,80.0,100.3
S06422,Arabic,80,100%,Road suddenly bag wife necessary government two meet able book standard shake.,100.0,86.0
S07869,Science,75,90,Author law clearly alone each administration this fish.,90.0,79.5
S08716,Geography,55,-5,Compare interest crime us field everybody radio production sing young suggest administration.,5.0,40.0
S04648,English,83,80%,Policy hotel owner vote agency evidence half candidate pass mother admit leave night commercial.,80.0,82.1
S04117,History,64,90,Chance set me degree hospital station each responsibility actually make teach image style.,90.0,71.8
S03310,History,106,90,Owner opportunity arm difference blood party spring near agent pull.,90.0,101.19999999999999
S01526,English,88,95,Brother change off military become thought wear scene new job amount.,95.0,90.1
S10484,History,78,80%,,80.0,78.6
S02275,Science,52,-5,Very data she above law career prepare western rather.,5.0,37.9
S04409,Math,99,-5,Her will contain statement little particularly paper whatever know leave stuff deep.,5.0,70.8
S04977,English,99,90,While affect this town prove suddenly free this pick likely common.,90.0,96.3
S04215,History,96,100%,Able network buy south few member how including international for simply present result.,100.0,97.19999999999999
S09231,Geography,108,100%,Analysis whose bring character lot seek director including majority article service speak.,100.0,105.6
S06417,Science,70,90,Way live beat western wish provide present friend state pattern.,90.0,76.0
S08250,English,96,100%,Real human every significant Mrs yourself.,100.0,97.19999999999999
S02153,Geography,84,95,Think both data hundred across seat coach.,95.0,87.3
S09033,Geography,107,100%,,100.0,104.89999999999999
S11290,Math,78,95,Practice fly memory message young build natural technology radio increase direction account knowledge until.,95.0,83.1
S08167,English,65,100%,Begin bill rather president buy class executive thing oil travel husband.,100.0,75.5
S01556,Science,103,95,Per garden national recent policy lawyer tell grow street cost she.,95.0,100.6
S10069,Geography,80,100%,Least share return trade three whose worker later already hope once recognize.,100.0,86.0
S07228,English,69,80%,Say return benefit each left truth couple development particularly.,80.0,72.3
S01519,English,103,80%,Road rich case main third share information story medical prove economy.,80.0,96.1
S05011,Arabic,103,95,Visit beyond at firm as thousand six seem guy.,95.0,100.6
S09317,History,49,95,Message check operation fact likely style.,95.0,62.8
S03684,Math,106,-5,What win reality best in PM capital rather alone speech while.,5.0,75.69999999999999
S04813,Math,86,95,Speak record return real matter dog dream idea owner school.,95.0,88.69999999999999
S07983,Geography,101,90,Someone teacher down question police we somebody field certainly bill thing address.,90.0,97.69999999999999
S00047,English,58,95,Affect international TV tree recently keep.,95.0,69.1
S04959,Geography,65,100%,Vote listen when clearly something day positive.,100.0,75.5
S11357,Arabic,71,95,,95.0,78.19999999999999
S03287,Arabic,45,95,Since allow husband far debate last home which race.,95.0,60.0
S07962,Math,92,100%,Time until off talk view huge American evidence establish you shake cost present.,100.0,94.39999999999999
S08717,Science,71,80%,Performance population position or discussion share speak raise season writer garden stock.,80.0,73.69999999999999
S01286,English,106,80%,Relate talk country table left shoulder project eye argue finish.,80.0,98.19999999999999
S09741,English,49,95,Industry oil wife Mr ok evening.,95.0,62.8
S04809,History,68,90,Us small film seven fund along mind.,90.0,74.6
S08821,History,42,100%,Society rate stand effort peace social toward tend stock still.,100.0,59.4
S05893,Arabic,70,80%,,80.0,73.0
S00396,Arabic,85,95,Appear picture day site soldier herself.,95.0,88.0
S11922,Geography,43,80%,Visit statement father land protect free Mr quality image act hold question.,80.0,54.099999999999994
S10032,Arabic,79,80%,Morning wish act already listen boy apply party early plant certainly avoid event.,80.0,79.3
S11337,Science,48,90,Particularly prepare will tonight build policy participant guy here Mrs pattern.,90.0,60.599999999999994
S05222,Arabic,90,90,,90.0,90.0
S08763,English,91,90,Move require number see piece including station page.,90.0,90.69999999999999
S04122,Math,40,95,Upon floor oil look throw find your mouth until no bar source.,95.0,56.5
S08505,Math,108,80%,Report nice statement hospital give dog attorney else.,80.0,99.6
S01223,Math,74,-5,Career sea back his investment anyone case three table person class price moment.,5.0,53.3
S00420,Geography,79,95,Computer page according hand student work school sure her perhaps change stuff.,95.0,83.8
S02639,Science,98,100%,Board key many speech me phone per language partner miss.,100.0,98.6
S11645,Arabic,94,90,Garden Mrs score same partner white hard usually anyone.,90.0,92.8
S00135,Science,87,80%,Pretty fly tax remain style growth each level order character officer build.,80.0,84.9
S09803,English,96,100%,Trouble born common real different knowledge truth.,100.0,97.19999999999999
S09875,Math,85,80%,Seven likely son medical draw they structure form article without quite.,80.0,83.5
S06607,English,86,80%,The some floor book election cup wall.,80.0,84.19999999999999
S09270,Math,69,100%,Effort fight nature improve soon under decade theory possible attack reality account final.,100.0,78.3
S10057,English,85,80%,Board report security dream information station general stock involve prove by.,80.0,83.5
S01574,Math,91,-5,Into step still mention year send training accept small different since high.,5.0,65.19999999999999
S08324,History,87,80%,Future better finally sign start security day put director student task.,80.0,84.9
S06103,English,43,80%,Modern clear thought there sound represent try he bad reality.,80.0,54.099999999999994
S03708,Geography,72,95,Remember church hospital yet send firm daughter.,95.0,78.9
S10792,Arabic,95,-5,Least coach share send responsibility baby risk ball leave this.,5.0,68.0
S06453,Arabic,96,100%,Their commercial type house some discover administration factor huge sure.,100.0,97.19999999999999
S09628,Geography,54,95,Suffer design factor deep light PM value end pressure hospital drop six.,95.0,66.3
S02446,History,105,-5,Line company many hope memory dinner industry will forward economic.,5.0,75.0
S10111,History,78,100%,Big trouble operation marriage institution sure if before positive within though ground.,100.0,84.6
S08553,Geography,61,80%,Approach almost decade garden food father draw subject.,80.0,66.69999999999999
S12136,English,41,-5,Give allow ahead garden provide board carry store class quality run trip particular.,5.0,30.2
S05190,Science,73,-5,Table director hand as future hot.,5.0,52.599999999999994
S11590,Geography,44,95,Word catch military pick stuff ten cold night still run.,95.0,59.3
S04363,English,44,90,Board eye cell rule senior allow must drop interview sing apply professional play.,90.0,57.8
S07536,Arabic,64,-5,Exactly camera stop community scientist realize heavy despite by.,5.0,46.3
S11210,Math,81,90,,90.0,83.69999999999999
S03660,History,76,95,Light a save pattern author candidate ball those space.,95.0,81.69999999999999
S00981,Math,65,-5,,5.0,47.0
S02405,Arabic,82,95,Start character maintain stuff strong business yard trial.,95.0,85.9
S05676,Math,52,80%,Air degree event possible participant time reality start evidence fight.,80.0,60.4
S11567,Arabic,41,80%,Activity fund eight clearly year both care necessary night get act fine.,80.0,52.7
S08679,Math,63,80%,,80.0,68.1
S05932,Arabic,72,90,Radio trip send physical past future issue land newspaper successful place age try.,90.0,77.4
S01128,Arabic,78,-5,Truth until try myself join pay.,5.0,56.099999999999994
S10842,Science,85,90,Quite body enter analysis clearly range real if ever.,90.0,86.5
S08602,Science,81,100%,Population fast people American knowledge method write almost store ground page school Mrs.,100.0,86.69999999999999
S05530,History,109,100%,First race enjoy law movement whose cup.,100.0,106.3
S01492,Science,40,80%,Audience poor more city national upon way.,80.0,52.0
S04647,Geography,76,90,Whether natural maintain different ask mind despite least window course.,90.0,80.19999999999999
S04587,Geography,98,-5,Production major three suddenly discussion road art even per interesting science argue consider.,5.0,70.1
S02163,Geography,84,90,Land quite opportunity whether life really control director carry actually.,90.0,85.8
S05943,Geography,103,90,Item line box whether public option safe ten professional decade movie book already.,90.0,99.1
S10716,Math,95,95,,95.0,95.0
S10171,Math,45,100%,Career interesting read brother difficult yard field.,100.0,61.5
S12119,Geography,61,80%,Couple program black include my control home find real collection land.,80.0,66.69999999999999
S03018,History,49,90,Since total hard drug rich cup impact sea operation west under recently.,90.0,61.3
S09738,History,89,80%,Question along science magazine military matter.,80.0,86.3
S04593,Arabic,83,95,Attack health kitchen watch degree production understand.,95.0,86.6
S00636,Math,109,95,Present money writer worker try college.,95.0,104.8
S06140,Science,86,-5,Song majority stand direction face nice water.,5.0,61.699999999999996
S09205,History,88,90,Like range eight director think floor present.,90.0,88.6
S03959,Geography,44,90,Effect unit raise strong perhaps site list political.,90.0,57.8
S10773,English,92,95,Upon require collection pay enough change cause employee individual Mr up boy human.,95.0,92.89999999999999
S09154,Geography,95,80%,Think treatment sport citizen cell sense I kid push.,80.0,90.5
S06217,Arabic,68,-5,,5.0,49.099999999999994
S01124,Arabic,42,90,Interest air above listen add air crime price themselves.,90.0,56.4
S04381,Math,69,90,Nature raise green billion capital deep few red away action scientist floor image.,90.0,75.3
S03207,Science,84,95,Player we executive lot stock return body.,95.0,87.3
S03185,Arabic,103,95,Stay group listen most his year security usually air star.,95.0,100.6
S04098,Science,81,-5,Republican night too hard kind spend feeling relationship establish mention particular part reveal.,5.0,58.199999999999996
S10130,Math,72,90,,90.0,77.4
S04190,English,77,95,Clearly they book green field federal staff scientist prove.,95.0,82.4
S07667,Math,71,90,Wish result easy ask question necessary design.,90.0,76.69999999999999
S10770,Science,77,100%,Drug official daughter treat short Mrs once this quality success.,100.0,83.9
S04300,Science,80,90,Hope me dark difficult sure pull see degree knowledge.,90.0,83.0
S05649,Geography,108,95,Event say near road perform shake newspaper decision into bar.,95.0,104.1
S07930,Science,88,95,Home message later still difference green arrive building several water.,95.0,90.1
S06943,Science,69,-5,Fast policy child whose attention would its teach.,5.0,49.8
S08727,English,46,90,Letter produce south hard certainly phone than black when eight theory.,90.0,59.199999999999996
S02980,Arabic,42,100%,Perform city step wind usually speech firm institution pay effect.,100.0,59.4
S04791,Math,70,90,Cell between garden cell tough Mr body.,90.0,76.0
S11407,English,65,-5,Water decade reveal process box power necessary.,5.0,47.0
S10213,English,98,80%,Summer now health evidence view she reduce.,80.0,92.6
S08818,English,65,80%,Range usually happen production long new listen.,80.0,69.5
S11998,Science,98,90,Believe skin return wall assume continue.,90.0,95.6
S07903,Science,69,95,During position family military lot consider central church until lead treatment.,95.0,76.8
S02615,Math,74,90,Adult simple believe identify plant nor professor focus million letter.,90.0,78.8
S07739,English,83,80%,Either team arm standard news order edge build.,80.0,82.1
S10608,English,63,-5,Room unit key growth expert evening pattern.,5.0,45.599999999999994
S04972,Math,99,100%,Hundred need collection adult police radio present heart sing win far.,100.0,99.3
S03179,English,82,95,Majority require program simply blue thought.,95.0,85.9
S06143,Science,101,-5,Position even size service cultural there.,5.0,72.19999999999999
S11325,Math,100,100%,Third official debate most tell again wish night cell remember write.,100.0,100.0
S05766,History,54,80%,Similar social strategy peace affect bill door keep right run movement appear into.,80.0,61.8
S10239,Science,106,90,Born produce note its reflect option word site on water western yourself role.,90.0,101.19999999999999
S02784,English,56,90,Candidate mother strong when million hand fish suddenly.,90.0,66.19999999999999
S10721,Science,98,95,Mission receive blue something rise enjoy.,95.0,97.1
S10754,History,52,-5,Available paper can hair experience daughter fly threat.,5.0,37.9
S10991,Math,96,-5,Explain end government by worker from though if.,5.0,68.69999999999999
S11987,Geography,43,95,Already candidate list ground total star.,95.0,58.599999999999994
S01943,English,107,-5,Score man child thought new understand time service.,5.0,76.39999999999999
S09748,Math,76,-5,Music where feeling past dinner song one.,5.0,54.699999999999996
S11774,Arabic,81,90,Upon outside business after human apply water admit.,90.0,83.69999999999999
S01540,Math,82,100%,Learn because society unit its lay authority certainly development decide physical.,100.0,87.4
S08883,English,75,90,Event organization mission quite subject its rest president wish.,90.0,79.5
S11108,History,44,100%,Yes experience piece walk thank police mention who whom.,100.0,60.8
S02703,Math,72,90,Nation security child address can foot collection I work financial themselves enough.,90.0,77.4
S05113,History,57,-5,Field dark attention western within part world.,5.0,41.4
S08680,Science,78,95,Form effect chance would cost century color rock paper include contain ever enjoy.,95.0,83.1
S09365,Arabic,62,90,Floor sport relationship forget tree cover especially.,90.0,70.4
S08863,Math,62,100%,Far exist people same stock maybe effort she fund pretty well east base democratic.,100.0,73.4
S12055,History,52,90,Bag until couple say fall although interest probably.,90.0,63.4
S07786,Math,108,-5,Officer become wall evidence lose represent fire them doctor truth above.,5.0,77.1
S10739,Science,54,80%,Magazine already detail relationship election thought class federal.,80.0,61.8
S00334,Science,55,-5,When seat charge station prevent fill leg less board democratic but.,5.0,40.0
S06188,History,44,-5,Music pretty begin enough apply truth individual upon business lead.,5.0,32.3
S01496,English,45,80%,Answer picture past its half security heart nice head television turn coach.,80.0,55.5
S06203,English,49,90,Hit even begin rule social close person.,90.0,61.3
S11762,Geography,58,-5,,5.0,42.099999999999994
S11508,History,79,95,Up else shoulder possible none your eat item unit.,95.0,83.8
S04470,Geography,42,95,Until and next interest board professional glass end owner necessary account protect learn.,95.0,57.9
S01588,Arabic,52,100%,From purpose end fill a thing morning final ahead then.,100.0,66.4
S10698,Arabic,57,95,Fact tell clearly Mrs decade today focus do exist part increase watch.,95.0,68.4
S00705,Science,93,-5,Talk knowledge require number entire which whatever occur course.,5.0,66.6
S12031,History,110,100%,Piece east then strategy key reduce chair high.,100.0,107.0
S11070,Geography,97,80%,Enjoy someone already writer medical break south child fear activity tough.,80.0,91.89999999999999
S10937,Geography,80,100%,Against some management smile wall actually forward job whom actually opportunity station.,100.0,86.0
S10539,Geography,68,100%,House sort concern figure test bed resource fire less traditional.,100.0,77.6
S07615,Science,86,-5,Measure trip along rock stand owner.,5.0,61.699999999999996
S02398,Arabic,57,100%,,100.0,69.9
S07508,Geography,79,95,Exactly investment catch office attention seven off machine recent us.,95.0,83.8
S02480,History,49,95,Cover important radio area around wall these carry hand those nature kind sister cup.,95.0,62.8
S01675,Geography,109,90,Bar court man agree everything event form reveal hair.,90.0,103.3
S08282,English,63,-5,,5.0,45.599999999999994
S05211,Science,58,90,Last board study happen raise go matter voice table member.,90.0,67.6
S04702,Geography,104,100%,Among final order case turn check resource this beat game player.,100.0,102.8
S10578,Geography,96,90,Throughout like pick again wife mission baby town compare plant someone poor.,90.0,94.19999999999999
S07676,Arabic,43,90,Cold remember hair job fire fly push.,90.0,57.099999999999994
S01863,Arabic,55,80%,Science charge half glass employee social thousand simply form.,80.0,62.5
S02491,Math,90,-5,But step whole follow create final serve interesting.,5.0,64.5
S01837,Math,86,80%,Democrat place red building month always arm year suggest mouth message.,80.0,84.19999999999999
